num,id,pagos,distintos
1,Aguascalientes,23409777,23344254
2,Baja California,52560385,3302384
3,Baja California Sur,14441184,830627
4,Campeche,31055921,1867206
5,Coahulia de Zaragoza,46348097,3172397
6,Colima,14570222,868220
7,Chiapas,267680519,9429270
8,Chihuahua,75263872,3840996
9,Distrito Federal,201463809,8823741
10,Durango,54856131,2405807
11,Guanajuato,161598096,6747619
12,Guerrero,166304631,5735943
13,Hidalgo,109879464,4246727
14,Jalisco,161851613,8534172
15,México,498607629,21139570
16,Michoacán,164154162,6541877
17,Morelos,55816835,2390408
18,Nayarit,39173772,1743314
19,Nuevo León,56621435,3509686
20,Oaxaca,191682546,7103816
21,Puebla,210110374,8989887
22,Querétaro,51551346,2261590
23,Quintana Roo,35615224,1846623
24,San Luis Potosí,96800891,3822907
25,Sinaloa,69177857,3096367
26,Sonora,49323847,2805876
27,Tabasco,82624059,3149583
28,Tamaulipas,74990190,4341176
29,Tlaxcala,44530948,1763706
30,Veracruz,276021769,9631946
31,Yucatán,62220871,2615888
32,Zacatecas,59503470,2369372
